genotype,background,temperature,fluctuation,day.length,vernalization,survival.bolt,bolt,days.to.bolt,days.to.flower,rosette.leaf.num,cauline.leaf.num,blade.length.mm,total.leaf.length.mm,blade.ratio
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,105,125,77,7,17.7,30,0.59
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,106,126,42,6,18.5,30.9,0.598705502
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,108,130,75,7,20.1,34.1,0.589442815
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,109,127,80,7,18.3,32.5,0.563076923
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,109,131,77,7,22.5,34,0.661764706
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,109,134,75,6,17.6,31.7,0.555205047
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,110,133,78,9,27.2,48.1,0.565488565
prmt5 FRI,Col FRI,12,Con,8,NV,Y,Y,112,132,87,7,18.8,35.6,0.528089888
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,82,98,74,8,19.8,33.9,0.584070796
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,87,105,83,4,30,48.4,0.619834711
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,88,104,69,11,22,34.5,0.637681159
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,88,104,70,9,19.9,31.1,0.639871383
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,89,108,73,7,20.6,33.6,0.613095238
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,90,104,73,8,19.4,28.6,0.678321678
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,94,112,81,8,24.3,35.1,0.692307692
prmt5 FRI,Col FRI,12,Var,16,NV,Y,Y,102,117,54,10,15.4,26.2,0.58778626
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,101,122,84,9,30.1,46.9,0.641791045
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,109,131,73,7,18.3,27.2,0.672794118
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,109,129,70,7,21.1,30.6,0.689542484
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,113,134,75,6,21.1,36.9,0.571815718
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,115,136,73,7,21,32.9,0.638297872
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,116,139,78,8,20.1,33.6,0.598214286
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,116,137,84,8,23.2,37.3,0.621983914
prmt5 FRI,Col FRI,12,Var,8,NV,Y,Y,118,140,75,7,20.9,35.5,0.588732394
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,102,111,91,10,20.5,31.9,0.642633229
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,107,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,108,117,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,109,NA,NA,NA,11.7,32.2,0.363354037
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,128,135,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,142,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,152,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,NV,Y,Y,152,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,49,57,38,6,26.3,43.1,0.610208817
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,50,59,40,6,23.6,35.4,0.666666667
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,52,60,48,7,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,53,61,42,5,21.5,36.4,0.590659341
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,57,62,43,7,25.5,41.7,0.611510791
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,64,72,50,5,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,65,73,52,7,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,NV,Y,Y,66,73,54,8,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,56,72,53,9,17.3,31.1,0.556270096
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,56,73,51,10,19.9,30.2,0.658940397
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,57,76,49,8,17.4,30.1,0.57807309
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,59,76,46,8,16.8,29,0.579310345
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,59,73,52,8,12.8,28.3,0.45229682
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,60,77,51,8,12,33,0.363636364
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,62,78,51,6,21.5,33.9,0.634218289
prmt5 FRI,Col FRI,12,Con,16,V,Y,Y,63,80,65,10,21.8,34.3,0.635568513
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,70,90,57,5,18.2,28.3,0.643109541
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,74,94,58,5,21,29,0.724137931
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,81,120,66,8,15.9,27.7,0.57400722
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,82,104,62,5,19.8,33.1,0.598187311
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,83,102,64,8,17.4,29.4,0.591836735
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,89,112,69,8,24.6,36.5,0.673972603
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,92,118,64,8,18.8,31.3,0.600638978
prmt5 FRI,Col FRI,12,Con,8,V,Y,Y,92,115,62,8,20.8,35,0.594285714
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,51,65,46,5,17.3,27.9,0.620071685
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,53,65,49,6,19.6,33,0.593939394
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,55,68,44,7,20.5,32.1,0.638629283
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,55,70,56,8,31.3,48.5,0.645360825
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,56,68,52,10,20.5,33.1,0.619335347
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,56,72,50,6,22.1,33.9,0.651917404
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,57,73,52,8,18.5,28.9,0.640138408
prmt5 FRI,Col FRI,12,Var,16,V,Y,Y,58,73,48,7,21.5,36,0.597222222
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,72,92,55,6,19.2,30.9,0.621359223
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,75,92,67,6,28.4,45.8,0.620087336
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,75,94,59,6,19.8,32,0.61875
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,78,96,28,6,18.8,33.2,0.56626506
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,79,98,62,6,20.3,36.1,0.56232687
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,81,102,59,5,22.4,35.3,0.634560907
